ABINGTON-PIGOTTS-ROYSTON (MANOR FARM),,,,,,,,,,,
Grid ref,TL303448,Long,-0.099710535,Lat,52.086223,Elevation,90,ft,,,
Station no,1189,,,,,,,,,,
,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,2.36,,,,,,,,
February,,,0.97,,,,,,,,
March,,,1.19,,,,,,,,
April,,,2.82,,,,,,,,
May,,,0.82,,,,,,,,
June,,,0.82,,,,,,,,
July,,,3.96,,,,,,,,
August,,,1.98,,,,,,,,
September,,,2.4,,,,,,,,
October,,,0.57,,,,,,,,
November,,,0.74,,,,,,,,
December,,,1.47,,,,,,,,
Total,,,20.1,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Note this is a 12 inch gauge,,,,,,,,,,,
Elevation estimated from OS map,,,,,,,,,,,
