BUNGAY-FLIXTON-HALL (FLIXTON-VICARAGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TM306865,Long,1.390446,Lat,52.427818,Elevation,80,ft,,,,,,,,,,,,
Station no,1376,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,,,,0.53,0.59,1.89,1.56,2.33,2.91,,,,,,
February,,,,,,,,,1.75,0.81,2.15,1.31,1.15,0.61,,,,,,
March,,,,,,,,,2.22,2.82,0.98,2.15,3.09,1.71,,,,,,
April,,,,,,,,,2.22,1.49,2.1,0.97,0.39,2.14,,,,,,
May,,,,,,,,,1.71,1.11,4.18,1.13,0.77,1.48,,,,,,
June,,,,,,,,,0.76,3.51,2.25,3.16,3.1,1.07,,,,,,
July,,,,,,,,,3.43,2.77,3.78,0.38,3.41,2.19,,,,,,
August,,,,,,,,,2.57,1.83,2.58,0.31,7.7,0.74,,,,,,
September,,,,,,,,,1.51,1.92,1.55,1.69,2.83,1.8,,,,,,
October,,,,,,,,,2.62,3.89,0.97,2.26,1.53,3.31,,,,,,
November,,,,,,,,,1.17,1.03,3.37,2.96,2.41,2.23,,,,,,
December,,,,,,,,,1.48,4.93,4.25,3.77,2.34,0.78,,,,,,
Total,,,,,,,,,21.97,26.7,30.05,21.65,31.05,20.97,,,,,,
