DARWEN GILLIBRAND OBSERVATORY,,,,,,,,,,,,,,,,,,,,
Grid ref,SD687217,Long,-2.4754603,Lat,53.690802,Elevation,711,ft,,,,,,,,,,,,
Station no,RR2788,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,,,,,,,,7.98,7.85,,,,,,,,,
February,,,,,,,,,4.61,2.79,4.96,,,,,,,,,
March,,,,,,,,,2.71,3.56,0.78,,,,,,,,,
April,,,,,,,,,2.56,4.96,3.67,,,,,,,,,
May,,,,,,,,,3.95,3.45,2.5,,,,,,,,,
June,,,,,,,,,3.71,2.04,3.76,,,,,,,,,
July,,,,,,,,,1.25,4.77,2.82,,,,,,,,,
August,,,,,,,,,7.39,1.88,6.44,,,,,,,,,
September,,,,,,,,,2.32,7.97,2.9,,,,,,,,,
October,,,,,,,,,5.68,4.32,7.82,,,,,,,,,
November,,,,,,,,,5.36,2.54,5.27,,,,,,,,,
December,,,,,,,,,6.21,4.28,7.02,,,,,,,,,
Total,,,,,,,,,,50.54,55.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1898 Jan est; record starts February,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_15_pt1-page-006.csv,,,,,,,,,,,,,,,,,,,,
"TYRain_1900-1909_19_pt1-page-236.csv - only 1900 at this location; 1907-1909 classed as Bold Venture Park, 724'",,,,,,,,,,,,,,,,,,,,
"Two gauges within this NGR and marked on map , steep slopes probably account for different elevations",,,,,,,,,,,,,,,,,,,,
