EASTWOOD-COLLIERY (OFFICE - HIGH LEVEL),,,,,,,,,,,,,,,,,,,,
Grid ref,SK465473,Long,-1.3069,Lat,53.0216,Elevation,265,ft,,,,,,,,,,,,
Station no,RR174,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,1.8,1.53,0.18,0.49,2.12,2.3,2.64,1.54,2.44,1.59,0.58,1.33
February,,,,,,,,,1.48,3.34,1.7,3.91,1.85,2.83,1.43,1.98,0.28,0.5,0.85,1.78
March,,,,,,,,,0.49,0.91,2.29,2.36,1.52,0.93,1.57,1.02,2.54,0.74,1.96,3.37
April,,,,,,,,1.8,1.41,1.87,1.05,1.05,2.51,1.88,1.44,1.16,1.58,1.18,1.69,2.32
May,,,,,,,,2.81,3.99,2.35,1.42,1.44,2.43,1.16,0.73,2.05,4.32,1.42,0.57,3.74
June,,,,,,,,1.71,3.16,4.5,3.35,1.95,3.64,4.46,0.86,2.63,1.29,0.44,1.54,0.31
July,,,,,,,,2.51,1.06,3.77,5.6,1.29,2.96,2.02,5.22,0.36,3.06,0.88,4.28,3.73
August,,,,,,,,5.04,7,4.1,2.78,4.97,1.82,1.3,1.98,2.13,1.98,1.34,2.31,2.79
September,,,,,,,,2.34,1.77,2.32,3.89,1.56,1.56,4.88,1.09,2.51,1.17,2.17,0.87,2.38
October,,,,,,,,1.99,2.91,1.2,3.62,2.88,4.85,2.48,0.77,4.5,3.98,1.42,0.59,2.88
November,,,,,,,,2.49,1.8,0.94,2.15,3.02,3.24,2.96,0.75,2.23,1.47,1.53,3.56,0.88
December,,,,,,,,2.12,0.82,1.1,3.32,2.28,4.12,0.81,1.72,0.51,2.51,1.79,1.86,1.59
Total,,,,,,,,,27.69,27.93,31.35,27.2,32.62,28.01,20.2,22.62,26.62,15,20.66,27.1
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1877 Feb estimated,,,,,,,,,,,,,,,,,,,,
Note that gauge is at a height of 36ft,,,,,,,,,,,,,,,,,,,,
