LYME-REGIS-(BUTTER-MARKET),,,,,,,,,,
Grid ref,SY343921,Long,-2.93136,Lat,50.72511,Elevation,19,ft,,
Station no,RR2270,,,,,,,,,
,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869
January,,,,,,,6.21,4.79,4.58,4.34
February,,,,,,,4.43,2.75,1.99,3.59
March,,,,,,,2.75,5.03,1.5,2.62
April,,,,,,,2.42,2.31,2.27,
May,,,,,,,2.33,2.1,1.85,
June,,,,,,,2.05,1.05,0.8,
July,,,,,,,1.52,4.64,0.49,
August,,,,,,,3.19,1.52,4.85,
September,,,,,,,7.45,1.98,4.64,
October,,,,,,,2.46,3.21,3.31,
November,,,,,,,1.92,0.93,2,
December,,,,,,,3.05,2.68,8.12,
Total,,,,,,,39.78,32.99,36.4,
,,,,,,,,,,
Butter Market Now part of Church St near church and Long Entry,,,,,,,,,,
1869 Apr Gauge moved 0.75 miles NW to Spring Cottage,,,,,,,,,,
