SOUTHAMPTON CADLAND-(COTTAGE),,,,,,,,
Grid ref,SZ467998,Long,-1.3387,Lat,50.79593,Elevation,40,ft
Station no,643,,,,,,,
,,,,,,,,
,1936,1937,1938,1939,1940,,,
January,,6.43,3.86,4.58,3.21,,,
February,,5.45,0.56,1.2,3.36,,,
March,,3.48,0.49,1.12,3.55,,,
April,,2.87,0.01,1.4,0.85,,,
May,,3.56,1.16,1.02,0.52,,,
June,,1.42,0.68,1.38,1.8,,,
July,,1.52,1.6,3.57,3.66,,,
August,,1.1,2.16,2.04,0,,,
September,,1.93,1.6,0.67,1.68,,,
October,,2.91,3.7,7.39,3.99,,,
November,,2.06,4.27,6.87,10,,,
December,,6.37,3.53,1.93,2.6,,,
Total,,39.1,23.62,33.17,35.22,,,
,,,,,,,,
5 inch gauge,,,,,,,,
Cadland Cottage,,,,,,,,
Exact house not found but observer had this place rebuilt in 1935 after burning down in 1916,,,,,,,,
It could have been one of the buildings 0.5 miles NE at Nelsons Place,,,,,,,,
Neither place would have an elevation of 100ft as on the sheet,,,,,,,,
