STEYNING,,,,,,,,,,
Grid ref,TQ175113,Long,-0.330831,Lat,50.889246,Elevation,62,ft,,
Station no,RR454,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,3.49,5.93,4.23,
February,,,,,,,5.82,2.93,0.1,
March,,,,,,,2.15,2.44,2.12,
April,,,,,,,0.14,1.06,2.85,
May,,,,,,,1.5,3.26,0.57,
June,,,,,,,1.61,4.15,1.4,
July,,,,,,,5.41,2.4,1.32,
August,,,,,,,2.81,4.62,1.8,
September,,,,,,4.06,3.91,5.01,0.1,
October,,,,,,1.66,2.32,3.05,3.68,
November,,,,,,1.01,3.72,2.75,4.1,
December,,,,,,5.73,2.74,5.32,8.95,
Total,,,,,,,35.62,42.92,31.22,
