SWAFFHAM-DUNHAM (DUNHAM COTTAGE),,,,,,,,,,,,,,,,,,,,,
Grid ref ,TF866128,Long ,0.7599,Lat ,52.6811,Elevation ,252,ft ,,,,,,,,,,,,,
Station no ,1469,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January ,,,,1.93,2.14,1.14,3.62,2.49,4.71,2.55,2.09,2.62,1.18,0.93,2.06,2.23,3.21,4.18,2.61,,
February ,,,,2.71,1.63,2.84,2.07,2.23,1.43,0.81,1.47,3.04,0.83,2.42,0.79,2.67,2.72,3.08,0.73,,
March ,,,,1.64,1.03,1.84,0.34,2.06,1.87,0.27,1.46,0.85,,2.72,1.96,0.59,0.75,3.89,0.59,,
April ,,,,1.01,2.13,2.61,2.12,2.02,1.52,0.99,2.42,4.28,,1.26,2.36,3.82,1.43,2.64,0.67,,
May ,,,,1.88,3.24,2.64,2.75,0.76,2.37,1.73,3.15,3.68,4.47,2.19,1.21,0.93,1.55,2.48,3.17,,
June ,,,,0.72,1.58,0.76,4.33,5.37,3.38,1.23,1.26,1.45,0.69,3.45,1.33,3.13,4,1.91,1.39,,
July ,,,,3.13,2.04,1.7,1.6,3.68,2.29,3.08,5.42,3.91,3.53,2.6,1.48,1.36,5.62,2.76,2.34,,
August ,,,,2.5,2.74,2.27,1.99,3.31,2.28,1.25,3.55,2.91,1.51,0.85,2.08,1.06,1.3,1.97,1.5,,
September ,,,,2.05,3.28,3.71,1.65,3.71,0.56,0.43,5.83,2.32,2.21,2.46,1.86,4.33,3.08,3.27,,,
October ,,,,3.37,4.73,2.35,1.85,2.84,3.45,3.43,1.09,1.61,5.3,3.26,1.8,3.08,2.19,1.7,,,
November ,,,,2.52,2.16,3.42,3.84,3.44,2.74,4.71,4,2.57,1.7,2.16,1.97,3.91,3.49,2.26,,,
December ,,,,3.15,2.37,2.9,1.08,2.22,2.9,4.83,2.24,1.55,0.8,0.81,4.81,2.23,1.7,3.33,,,
Total ,,,,26.61,29.07,28.18,27.24,34.13,29.5,25.31,33.98,30.79,,25.11,23.71,29.34,31.04,33.47,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1932 Mar Apr estimated,,,,,,,,,,,,,,,,,,,,,
