WORTH-RECTORY (NEW GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ302361,Long,-0.14148166,Lat,51.109416,Elevation,300,ft,,,,,,,,,,,,
Station no,RR1288,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,2.19,1.01,1.41,4.18,3.44,0.65,2.47,5.48,2.51,,,,
February,,,,,,,,0.9,1.28,2.78,1.23,0.03,1.46,3.98,2.2,0.26,,,,
March,,,,,,,,2.11,4.59,3.03,2.46,2.65,1.41,0.41,2.04,2.04,,,,
April,,,,,,,,1.96,1.72,2.72,2.74,0.58,1.34,0.05,3.08,2.21,,,,
May,,,,,,,,1.91,-999,1.54,2.2,3.06,1.12,0.86,1.99,0.43,,,,
June,,,,,,,,0.57,-999,0.5,3.23,2.65,3.35,1.05,2.27,0.27,,,,
July,,,,,,,,1.07,5.21,2.86,4.77,4.87,2.31,3.69,5.85,4.22,,,,
August,,,,,,,,,2.38,2.78,3.62,5.82,3.87,0.71,2.61,3.07,,,,
September,,,,,,,,3.13,1.17,1.17,1.51,1.1,2.63,2.01,2.76,0.21,,,,
October,,,,,,,,1.62,1.9,6.79,1.39,9.09,5.34,4.96,3.81,4.69,,,,
November,,,,,,,,5.83,4.98,1.3,3.21,4.24,3.94,3,6.45,6.45,,,,
December,,,,,,,,2.2,2.35,2.15,0.68,4.7,2.81,3.74,2.45,3.45,,,,
Total,,,,,,,,,32.47,29.03,31.22,42.23,30.23,26.93,40.99,29.81,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
IDR 1888 May-Jun -999,,,,,,,,,,,,,,,,,,,,
