LOCH NA GOBHLAIG NEW SITE,,,,,,,,,,
Grid ref,NH260297,Long,-4.891569,Lat,57.324552,Elevation,2050,ft,,
Station no,5713/66,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,,
February,,,,,,,,,,
March,,,,,,,,,,
April,,,,,,,,,,
May,,,,,,,,,,
June,,,,,,,,,,2.65
July,,,,,,,,,,1.84
August,,,,,,,,,,5.6
September,,,,,,,,,,3.3
October,,,,,,,,,,3.3
November,,,,,,,,,,3.5
December,,,,,,,,,,7.32
Total,,,,,,,,,,
,,,,,,,,,,
Station no,5713/66,,,,,,,,,
Midas,14576,,,,,,,,,
Hyd Stn,794709,,,,,,,,,
,,,,,,,,,,
Recommend POOR-LOCATIONS,,,,,,,,,,
