GORRAN-HAVEN-LAMLEDRA,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX011411,Long,-4.7899,Lat,50.2371,Elevation,220,ft,,,,,,,,,,,,,
Station no,1918/5,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,,,5.21,2.42,4.77,2.98,3.49,2.2,3.46,1.22,6.31,3.87,4.87,6.16,3.91
February,,,,,,,,,3.24,2.27,1.91,3.63,0,3.12,0.15,3.16,5.37,6.48,1.59,1.77,4.89
March,,,,,,,,,4.86,0.49,2.93,3.91,2.03,2.91,3.62,1.26,3.23,4.73,0.74,2.13,2.93
April,,,,,,,,,2.16,1.04,2.21,3.45,3.48,2.18,2.77,3.71,3.38,3.23,0.15,2.59,2.35
May,,,,,,,,,1.33,3.62,2.42,2.47,4.5,3.04,1.2,1.9,1.25,1.87,2.75,1.27,1.23
June,,,,,,,,,1.69,2.45,0.85,4.09,1.7,2.8,1.49,2.52,1.56,1.34,1.38,2.84,0.8
July,,,,,,,,,1.25,2.5,2.29,5.29,3.46,2,0.41,0.43,5.54,1.34,3.66,5.65,2.12
August,,,,,,,,,1.82,2.58,2.93,4.58,1.2,3.2,3.66,5.79,0.77,0.57,4.32,1.34,0.06
September,,,,,,,,,1.89,0.33,3.86,2.5,4.1,2.54,2.46,2.46,2.99,2.4,1.99,0.63,2.82
October,,,,,,,,,4.35,6.2,4.65,1.22,8.51,5.65,3.17,3.5,1.22,2.61,3.64,4.75,4.73
November,,,,,,,,,3.07,7.35,5.78,7.05,2.16,1.57,2.25,5.09,2.69,2.13,5.86,5.86,8.91
December,,,,,,,,,3.39,4.72,3.58,1.88,3.14,2.37,9.09,5.4,2.77,5.23,3.18,2.37,5.57
Total,,,,,,,,,34.26,35.97,38.18,43.05,37.77,33.58,33.73,36.44,37.08,35.8,34.13,37.36,40.32
,,,,,,,,,,,,,,,,,,,,,
1928 Not printed Low 10ins,,,,,,,,,,,,,,,,,,,,,
1929 July 1 Gauge moved 40ft S,,,,,,,,,,,,,,,,,,,,,
1929 Not printed Low 5ins,,,,,,,,,,,,,,,,,,,,,
1930 July 1 60ft ,,,,,,,,,,,,,,,,,,,,,
1930 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1931 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1932 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1933 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1934 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1935 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1936 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1937 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1938 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1939 Not printed Low,,,,,,,,,,,,,,,,,,,,,
1941 Station terminated for duration,,,,,,,,,,,,,,,,,,,,,
