WOKING-ST-JOHNS-HILL-ROAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU988576,Long,-0.5832,Lat,51.30968,Elevation,180,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,219/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.36,-999,2.38,1.79,4.14,1.54,1.04,2.06,-999,4.08,-999,0.66,3.48,1.8,0.9,1.08,2.7,,,,,
February,,,,,,,,,0.95,-999,-999,1.64,2.02,-999,2.15,2.21,-999,1.03,-999,3.91,5.66,0.67,1.15,2.29,1.38,,,,,
March,,,,,,,,,1.57,3.1,-999,1.41,0.43,-999,0.55,1.09,4.64,0.6,1.06,-999,3.69,2.74,0.43,2.15,0.95,,,,,
April,,,,,,,,,1.36,1.49,1.18,1.47,1.2,0.95,1.14,1.57,1.68,1.43,2.24,-999,2.49,1.53,2.03,0.25,,,,,,
May,,,,,,,,,1.89,1.25,2.21,3.04,2.45,0.88,1.51,3.39,1.18,2.37,1.79,2.5,2.27,2.1,1.53,2.53,,,,,,
June,,,,,,,,,1.37,0.8,2,0.97,1.57,2.38,2.17,2.67,2.47,2.61,0.57,1.41,0.81,1.82,1.43,3.63,2.23,,,,,
July,,,,,,,,0.87,2.1,2.33,3.67,1.09,2.02,1.52,4.16,1.93,2.34,0.89,0.6,0.9,1.43,0.56,3.68,2.6,0.25,,,,,
August,,,,,,,,,2.92,0.12,5.04,2.85,1.49,1.61,1.94,4.02,0.55,2.55,1.07,7,3.29,2.51,1.7,2.75,1.01,,,,,
September,,,,,,,,2.19,0.12,1.38,0.1,1.02,1.87,2.18,1.25,3.09,0.94,1.35,0.62,2.95,2.09,3.56,1.9,2.05,1.26,,,,,
October,,,,,,,,,4.9,3.6,1.29,3.52,2.34,3.32,2.56,0.82,-999,2.01,5.93,0.4,0.55,3.34,3.23,1.94,,,,,,
November,,,,,,,,3.09,4.22,5.87,3.02,1.82,-999,3.69,0.89,4.6,-999,1.67,2.42,5.04,6.82,2.85,1.54,4.35,,,,,,
December,,,,,,,,3.58,1.63,1.32,1.5,3.11,-999,1.69,1.73,2.54,2.66,2.97,1.21,1.21,1.92,2.48,0.71,2.7,,,,,,
Total,,,,,,,,,27.39,25.81,27.53,23.73,22.05,20.6,21.09,29.99,20.4,23.56,19.43,26.88,34.5,25.96,20.23,28.32,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Holly Bank St Johns Hill Rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1939 Total corrected as all monthly figures seem OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Jan Feb Bracketed Combined total 4.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940 Total corrected as all monthly figures seem OK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Feb Mar Bracketed Combined total 5.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Nov Dec Bracketed Combined total 2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1943 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Feb Mar Bracketed Combined total 0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1946 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Jan Feb Bracketed Combined total 2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Oct Nov Bracketed Combined total 1.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1949 Jan Feb Bracketed Combined total 1.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Mar Apr Bracketed Combined total 0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 May-Aug Might be apportioned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950 Total adjustment to make sum correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952 Readings now taken weekly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955 Oct Terminated Observer died,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
